Type,Left,Right,Similarity
syn, تحسين, تحسن, 
syn, بحوالي, تقريبا, 
syn, مبكر, سابق, 
syn, مديرية, مجلس, 
syn, الياباني, اليابانية, 
syn, قرن, مائة, 
syn, المغول, المغول, 
syn, قرى, بلدة, 
syn, يشكل, تنظم, 
syn, الاقتصاد, إنقاذ, 
syn, بنغلاديش, بنغلاديش, 
syn, قوالب, templet, 
syn, كتاب, الاحتياطي, 
syn, جودة, الاختيار, 
syn, نجيلية, النجيليات, 
syn, قادرة, متين, 
syn, بريطاني, البريطانيون, 
syn, كثيرًا, الكثير, 
syn, البريدي, الاتصالات, 
syn, بجميع, كليا, 
syn, الانتداب, عين, 
syn, صباح, الضحى, 
syn, القرص, مسلفة, 
syn, القرن, مائة, 
syn, القرى, بلدة, 
syn, الأمطار, تمطر, 
syn, شيوعية, أيديولوجية, 
syn, الموافقة, بركة, 
syn, بيانات, معلومات, 
syn, القانوني, صوت, 
syn, جونسون, جونسون, 
syn, العسل, dulcify, 
syn, سلسلة, مسلسل, 
syn, الحفاظ, الحفاظ, 
syn, المعنى, حامل, 
syn, الكليات, الجسم, 
syn, البوم, كتاب, 
syn, عليها, الماضي, 
syn, الاجتماعية, المجتمعية, 
syn, الجيل, coevals, 
syn, البوابات, غيتس, 
syn, طولها, بعد, 
syn, صراع, فواجه, 
syn, توأمة, متئمة, 
syn, قبيلة, قوم, 
syn, للغة, خطاب, 
syn, قيمة, القيمة, 
syn, اسم, مكالمة, 
syn, يعاني, تحمل, 
syn, الكاثوليك, كاثوليكي, 
syn, يشارك, غارقة, 
syn, الأهرام, ترتيب, 
syn, العلامة, وصم, 
syn, أعمالها, الاهتمام, 
syn, الناصر, ناصر, 
syn, أخبار, استخبارات, 
syn, المنصب, وكالة, 
syn, تساوي, حتى, 
syn, مشهورة, مشهور, 
syn, الأرقام, أرقام, 
syn, أعلى, تجاوز, 
syn, المرور, بضائع, 
syn, خضراء, مخضر, 
syn, مخرج, مدير, 
syn, ملاحظة, رصد, 
syn, المكان, موضع, 
syn, غرام, غرام, 
syn, جغرافي, الجغرافية, 
syn, الخصائص, ميزة, 
syn, الحاكمة, حامل, 
syn, الجمعيات, صلة, 
syn, ماهر, حاذق, 
syn, التقسيمات, جزء, 
syn, أحكام, مؤن, 
syn, انتخابية, الاختيار, 
syn, القفر, برية, 
syn, الجمهورية, ديمقراطية, 
syn, فرانكفورت, فرانكفورت, 
syn, أخي, رفيق, 
syn, المعارك, قتال, 
syn, المعارف, معرفة, 
syn, إضافية, إضافي, 
syn, عبيد, المقعدية, 
syn, كربلاء, كربلاء, 
syn, رعاية, أتمنى, 
syn, أونتاريو, أونتاريو, 
syn, العضلات, مرر, 
syn, العالمي, عالمي, 
syn, بمثابة, زرنيخ, 
syn, قروية, بلدة, 
syn, البر, أخلاقية, 
syn, عكس, خلفي, 
syn, بلقب, تخول, 
syn, الأفضل, أفضل, 
syn, هام, الاستيراد, 
syn, عمر, senesce, 
syn, منفرد, فرد, 
syn, علماء, bookman, 
syn, البث, متوسط, 
syn, المستخدمين, مستغل, 
syn, كريستيان, مسيحي, 
syn, أخر, عصري, 
syn, المعارض, معرض, 
syn, استهلاك, ابتلاع, 
syn, يزيد, تغير, 
syn, مدينة, مدينة, 
syn, التشخيص, تشخيص, 
syn, حصن, قلعة, 
syn, ضربة, تطفو, 
syn, أزرق, مزرق, 
syn, يزال, ساكن, 
syn, الماضية, سن, 
syn, لعبة, أعرج, 
syn, بناء, صرح, 
syn, بنات, فتاة, 
syn, لفظ, توضيح, 
syn, دانيال, دانيال, 
syn, لعبت, لعب, 
syn, وحدات, لبنة, 
syn, نشاط, حركة, 
syn, الأخيرة, الختامية, 
syn, عمل, قاضى, 
syn, الإسبانية, أسباني, 
syn, عمه, المساعد, 
syn, المعاصرة, معاصر, 
syn, انتقال, الإحالة, 
syn, الروايات, طازج, 
syn, سلم, جولة, 
syn, الخامسة, 5, 
syn, الجملة, إدانة, 
syn, تعيش, نطاط, 
syn, الإقليم, جزء, 
syn, الإنسانية, انساني, 
syn, أعضاء, طرف, 
syn, حصة, اشترك, 
syn, صحفية, مؤلف, 
syn, مركب, استعماري, 
syn, الظروف, ثروة, 
syn, راشد, كبير, 
syn, مركز, وسط, 
syn, مساعدة, معونة, 
syn, الألمان, ألماني, 
syn, اللاعبين, مشارك, 
syn, الوزن, عبء, 
syn, الأسماك, زاوية, 
syn, مشاة, ركيك, 
syn, استخدام, استخدام, 
syn, الحسين, حسين, 
syn, أعيد, رع, 
syn, الأنف, تطفل, 
syn, مغتربون, طرد, 
syn, الملكي, إمبراطوري, 
syn, الأسماء, الافتراء, 
syn, الجاذبية, جاذبية, 
syn, لذلك, محلول, 
syn, لأسباب, اختتام, 
syn, أوقيانوسيا, أوقيانوسيا, 
syn, أعلنت, معلن, 
syn, سؤال, فند, 
syn, بيتر, بيتر, 
syn, عمدة, سياسي, 
syn, آراء, رؤية, 
syn, البرمجيات, رزمة, 
syn, عيون, رأي, 
syn, بيتا, بيتا, 
syn, مصطلحات, تسمية, 
syn, منتخب, اختياري, 
syn, جزءًا, فصل, 
syn, محلي, مخدر, 
syn, استخدم, استخدام, 
syn, بفعل, الماضي, 
syn, صحفي, مؤلف, 
syn, المدارية, مدار, 
syn, محلة, جوار, 
syn, نجمة, الرائدة, 
syn, شهدت, قطع, 
syn, كليات, الجسم, 
syn, النعمان, حرف, 
syn, تؤدي, قيادة, 
syn, الحرية, إعفاء, 
syn, الفضائي, وضع, 
syn, قبرص, قبرص, 
syn, حجة, بيان, 
syn, وخصوصا, خصوصا, 
syn, شعار, لافتة, 
syn, مقدم, أنعم, 
syn, إنما, مجرد, 
syn, اليونان, اليونان, 
syn, هجرة, حدث, 
syn, تايمز, فترة, 
syn, بنقل, نقل, 
syn, الاتفاق, فهم, 
syn, الغرب, الغرب, 
syn, طرابلس, rottenstone, 
syn, سلة, handbasket, 
syn, هجري, ه, 
syn, المغربية, مغربي, 
syn, عمق, عمق, 
syn, مماثلة, مثل, 
syn, معينة, بالتأكيد, 
syn, الإسكندرية, الإسكندرية, 
syn, فلاسفة, bookman, 
syn, المناطق, بلد, 
syn, إبراهيم, إبراهيم, 
syn, ثقافية, عرقي, 
syn, الاستوائية, مدار, 
syn, الاشتراكي, اشتراكي, 
syn, يبدأ, انزل, 
syn, منتخبات, aggroup, 
syn, السكاني, الكون, 
syn, قصير, فقير, 
syn, خليفة, بديل, 
syn, الأشعة, عشرة, 
syn, الأخضر, مخضر, 
syn, المهندسين, مباشرة, 
syn, السويدي, الشمال, 
syn, احتمال, بحث, 
syn, فان, الطليعية, 
syn, سياسية, رأي, 
syn, النازية, النازية, 
syn, ماهية, نواة, 
syn, سلطان, مسطرة, 
syn, فاس, فاس, 
syn, فاز, مرهق, 
syn, متطلبات, الطلب, 
syn, فائقة, الآس, 
syn, الخمسة, 5, 
syn, انشاء, تصور, 
syn, ذرة, تغذية, 
syn, طبيعة, سبب, 
syn, الذرة, جزيء, 
syn, للدفاع, دفاع, 
syn, تزيد, تغير, 
syn, تأسيسها, تشكل, 
syn, السفلى, إنزال, 
syn, عالمية, الشمول, 
syn, شخصية, نقش, 
syn, للمعهد, إنشاء, 
syn, طرد, طرد, 
syn, طرح, خصم, 
syn, الفرات, الفرات, 
syn, الفارسية, إيراني, 
syn, غولدن, مذهب, 
syn, يوغوسلافيا, يوغوسلافيا, 
syn, اللاتينية, لاتينية, 
syn, طبيعي, اتفاقية, 
syn, واقع, عالم, 
syn, العلامات, ملصق, 
syn, التقارير, وصف, 
syn, العدد, مجموع, 
syn, المذهب, فلسفة, 
syn, القصر, قلعة, 
syn, خلفي, خلفي, 
syn, واحدة, 1, 
syn, ممتدة, طويل, 
syn, الأوروغواي, أوروغواي, 
syn, القصة, سرد, 
syn, واحدا, 1, 
syn, الأقاليم, جزء, 
syn, موناكو, موناكو, 
syn, التقاليد, عرف, 
syn, تجارية, الاهتمام, 
syn, تمنح, السماح, 
syn, منازل, داخلي, 
syn, بطلب, ثمل, 
syn, تمنع, إحباط, 
syn, القطبية, diametric, 
syn, قبائل, قوم, 
syn, عملها, عمل, 
ant, نقابة, تبرؤ, 
ant, العدل, ظلم, 
ant, العدو, صديق, 
ant, أوائل, متأخر, 
ant, سليم, devoice, 
ant, دوري, اسيكليك, 
ant, إجازة, يصل, 
ant, زيادة, نقصان, 
ant, مفتاح, الوهن, 
ant, الحروب, سلام, 
ant, الأحمر, ربح, 
ant, يأخذ, امتنع, 
ant, امتداد, انثناء, 
ant, وتوجد, هنا, 
ant, وجدت, ضائع, 
ant, المركب, بسيط, 
ant, المركز, اليسار, 
ant, ضوء, ظلام, 
ant, تلعب, ضيق, 
ant, حرب, سلام, 
ant, شائع, فرد, 
ant, ابتداء, النهاية, 
ant, القوات, إدفع, 
ant, الرابط, قطع, 
ant, قصور, انجازات, 
ant, الدخل, outgo, 
ant, انتهى, ابدأ, 
ant, بير, ثور, 
ant, العيش, ميت, 
ant, السفلي, رفع, 
ant, الوظيفة, عطل, 
ant, القديم, جديد, 
ant, هنا, هناك, 
ant, جيدة, سيئة, 
ant, مستمر, متقطع, 
ant, جيدا, سوء, 
ant, القطع, فك, 
ant, شغل, فارغ, 
ant, اقترح, بطلان, 
ant, يعيشون, ميت, 
ant, التغير, البقاء, 
ant, الرب, سيدة, 
ant, الكروية, nonspherical, 
ant, سلبية, إيجابية, 
ant, هواء, أرض, 
ant, اليسار, مركز, 
ant, ظهور, اختفاء, 
ant, الماضي, مستقبل, 
ant, مجرد, ظالم, 
ant, الغربية, الشرقية, 
ant, يظهر, اختفى, 
ant, جعل, استراحة, 
ant, ومعظم, الأقل, 
ant, حقوق, مركز, 
ant, إمكانية, استحالة, 
ant, دكتور, استراحة, 
ant, سوداء, أبيض, 
ant, ربط, قطع, 
ant, الريفي, الحضري, 
ant, بأعمال, خامل, 
ant, تشير, بطلان, 
ant, بقوة, ضعيف, 
ant, شقيق, أخت, 
ant, سكوت, صوت, 
ant, لون, تلطيخ, 
ant, مارك, تجاهل, 
ant, البعض, كل, 
ant, تنتقل, امتنع, 
ant, اضطراب, أمر, 
ant, تتغير, البقاء, 
ant, انتخب, بالتعيين, 
ant, آخرين, نفسه, 
ant, ملحقة, منفصل, 
ant, الدهر, تجديد, 
ant, عقود, وسع, 
ant, البيوت, بعيدا, 
ant, أخضر, ناضجة, 
ant, توقف, ابدأ, 
ant, الحديث, الصمت, 
ant, أنشأت, الهلامية, 
ant, المواد, روحي, 
ant, معروفة, معروف, 
ant, شديد, معتدل, 
ant, شائعة, فرد, 
ant, يربط, قطع, 
ant, بعيدة, قرب, 
ant, نجمية, starless, 
ant, خسر, إيجاد, 
ant, التنفس, لاهث, 
ant, المطلب, تجنب, 
ant, الصعب, سهل, 
ant, المطلق, قريب, 
ant, وضعه, عرى, 
ant, المختلفة, مثل, 
ant, رتب, شوش, 
ant, الرجل, مدني, 
ant, الأول, متوسط, 
ant, مكعب, خطي, 
ant, مسرحية, ضيق, 
ant, بقية, تغيير, 
ant, بقيت, تغيير, 
ant, شراء, يبيع, 
ant, إعداد, قرار, 
ant, اضافة, طرح, 
ant, يأتي, اذهب, 
ant, الشائع, فرد, 
ant, وطني, دولي, 
ant, يستمر, توقف, 
ant, نجح, فشل, 
ant, نجد, تخسر, 
ant, زادت, انخفاض, 
ant, المعتمد, مواطن, 
ant, الخلفية, طليعة, 
ant, فائدة, تجويف, 
ant, تنشأ, خريف, 
ant, ذكور, أنثى, 
ant, مسؤولية, irresponsibleness, 
ant, الفصل, الاتحاد, 
ant, يجعل, استراحة, 
ant, تصغير, زيادة, 
ant, موجود, معدوم, 
ant, إضافة, طرح, 
ant, النووية, تقليدي, 
ant, الأطباء, استراحة, 
ant, الحكمة, حماقة, 
ant, فقد, وجدت, 
ant, فقط, ظالم, 
ant, مستقبل, الماضي, 
ant, بعضها, كل, 
ant, الحضرية, الريف, 
ant, مجمع, بسيط, 
ant, داخلي, خارجي, 
ant, غريبة, مألوف, 
ant, الحيوانات, معدن, 
ant, انخفاض, زيادة, 
ant, خطي, مكعب, 
ant, خطر, سلامة, 
ant, المحترفة, الهاوي, 
ant, المراكز, اليسار, 
ant, بدأ, النهاية, 
ant, بدء, النهاية, 
ant, رابطة, تبرؤ, 
ant, الأقصى, قرب, 
ant, الشرف, خزي, 
ant, الشرق, غرب, 
ant, فلم, كل, 
ant, العسكري, مدني, 
ant, الحب, كراهية, 
ant, نصف, ككل, 
ant, نصر, هزيمة, 
ant, بكثرة, نادرا, 
ant, نصب, ألغى, 
ant, تمثل, محاكمة, 
ant, لين, الصعب, 
ant, الابن, ابنة, 
ant, التنسيق, اتناسق, 
ant, يعطي, جاع, 
ant, صالح, باطل, 
ant, خلفية, طليعة, 
ant, السلام, حرب, 
ant, وظل, تغيير, 
ant, القومية, دولي, 
ant, العقد, وسع, 
ant, مسرحيات, ضيق, 
ant, تقدم, تراجع, 
ant, بقي, تغيير, 
ant, تشجيع, تثبيط, 
ant, العقل, ننسى, 
ant, صعوبة, تخفيف, 
ant, يؤمن, كفر, 
ant, جمال, قبح, 
ant, المحلية, مواطن, 
ant, الأغلبية, أقلية, 
ant, يجد, تخسر, 
ant, بحر, هواء, 
ant, خرق, الحفاظ, 
ant, استمر, توقف, 
ant, خرج, آمن, 
ant, الطبي, جراحي, 
ant, الداخلي, خارجي, 
ant, حرة, مقيد, 
ant, محاذاة, شوص, 
ant, النور, ظلام, 
ant, القرار, تردد, 
ant, نقد, ائتمان, 
ant, القطبي, استوائي, 
ant, خيالية, nonfictional, 
ant, النقدية, ائتمان, 
ant, الإطارات, اهتمام, 
ant, جديد, قديم, 
ant, يطلب, تجنب, 
ant, النوم, صحو, 
ant, الخطر, سلامة, 
ant, بيضاء, أسود, 
ant, مقابل, البديل, 
ant, العضوية, وظيفي, 
ant, حاجة, تجنب, 
ant, التغييرات, البقاء, 
ant, ضعف, قوة, 
ant, الفردية, مشترك, 
ant, كافة, لا, 
ant, وهناك, هنا, 
ant, تهذيب, اللاانضباط, 
ant, الخلوي, noncellular, 
ant, تغييرات, البقاء, 
ant, الحيوي, خبري, 
ant, الحرارية, nonthermal, 
ant, آخرون, نفسه, 
ant, يخص, استخف, 
ant, سلامة, خطر, 
ant, منخفضة, ارتفاع, 
ant, بحرية, مقيد, 
ant, تعرضت, الآنسة, 
ant, جبهة, خلفي, 
ant, ينتهي, ابدأ, 
ant, الفرد, مشترك, 
ant, للتنمية, تفويض, 
ant, داخلية, خارجي, 
ant, كلها, لا, 
ant, حق, مركز, 
ant, بنت, صبي, 
ant, حديثة, nonmodern, 
ant, طبية, جراحي, 
ant, وفيات, خلود, 
ant, محتوى, ساخط, 
ant, أقصى, أدنى, 
ant, حد, ابدأ, 
ant, حب, كراهية, 
ant, بنو, ابنة, 
ant, حر, مقيد, 
ant, القدم, الرأس, 
ant, بنك, سحب, 
ant, عقوبة, مكافأة, 
ant, الطفل, الأم, 
ant, فحص, تعارض, 
ant, القصير, طويل, 
ant, بالعمل, خامل, 
ant, ينتشر, طية, 
ant, الحادث, الأساسية, 
ant, التاريخي, المتزامن, 
ant, غالب, خاسر, 
ant, اعتمد, مواطن, 
ant, شفوية, شرجي, 
ant, دفاع, جريمة, 
ant, المتحدة, منقسم, 
ant, المرحوم, وسط, 
ant, يتطلب, تجنب, 
ant, جهة, أسفل, 
ant, المطاف, أسفل, 
ant, بدوره, استقام, 
ant, رأس, قدم, 
ant, تابع, سبق, 
ant, مختلف, مثل, 
ant, التوسع, انقباض, 
ant, الحالي, غائب, 
ant, ترتفع, خريف, 
ant, مبارك, ملعون, 
ant, قرارات, irresoluteness, 
ant, ذاتي, موضوعي, 
ant, ذاته, مختلف, 
ant, المدنية, فلكي, 
ant, فاصل, الحفاظ, 
ant, موطنه, بعيدا, 
ant, شقيقة, أخ, 
ant, المفتوحة, إغلاق, 
ant, حمراء, ربح, 
ant, خارجي, داخلي, 
ant, الأحيان, نادرا, 
ant, يختلف, توافق, 
ant, ريال, الاسمي, 
ant, يحمل, ثور, 
ant, عامة, محلي, 
ant, المسرحية, ضيق, 
ant, الجغرافي, مغنطيسي, 
ant, تجمعات, التفكيك, 
ant, وغالبا, نادرا, 
ant, عسكريون, مدني, 
ant, أماكن, عرى, 
ant, ظهر, جبهة, 
ant, التابع, مستقل, 
ant, ملخص, الخرسانة, 
ant, فائزون, خاسر, 
ant, الطبيب, استراحة, 
ant, الطبية, جراحي, 
ant, بتاريخ, بعيدا, 
ant, استمرار, وقف, 
ant, إعطاء, جاع, 
ant, الأدنى, بعيدا, 
ant, يثبت, دحض, 
ant, كاملة, فارغ, 
ant, البداية, النهاية, 
ant, التعاون, منافسة, 
ant, مصدر, بالوعة, 
ant, الرضا, استياء, 
ant, رجل, مدني, 
ant, تضم, استبعد, 
ant, قليل, كثير, 
ant, البرية, كبح, 
ant, الجمعية, تبرؤ, 
ant, تضع, nonbearing, 
